Drug A,Drug B,Combination Effect,Property A,Property B,New Drug Property,Severity
caffeine,theophylline,"Theophylline activates the stimulant effects of caffeine, increasing the blood pressure and heart rate.","[{'id': 851, 'name': 'Caffeine', 'meanLP': 8.98, 'stdLP': 15.05, 'meanDP': -18.24, 'stdDP': 28.49, 'meanBP':","[{'id': 863, 'name': 'Theophylline', 'meanLP': 18.8, 'stdLP': 28.96, 'meanDP': -27.09, 'stdDP': 41.32, 'meanBP","[{'id': 863, 'name': 'Theophylline', 'meanLP': 18.8, 'stdLP': 28.96, 'meanDP': -27.09, 'stdDP': 41.32, 'meanBP",High
Clomipramine,Imatinib,Sedative,"[{'drugBank Id': 'DB01779', 'brand': 'Anafranil', 'generic': 'Clomipramine', 'route': 'Oral', 'strength': '10 mg/ml', 'dose': '25 mg', 'frequency","[{'drugBank Id': 'DB02235', 'brand': 'Gleevec', 'generic': 'Imatinib', 'route': 'Oral', 'strength': '100 mg/ml', 'dose': '100 mg', 'frequency': '","[{'drugBank Id': 'DB01779', 'brand': 'Anafranil', 'generic': 'Clomipramine', 'route': 'Oral', 'strength': '10 mg/ml', 'dose': '25 mg', 'frequency",Low
Bacitracin,Bacitracin,Synergistic,"{\n    'Amines': ['Benzamidine'],\n    'Antibiotics': ['Bacitracin'],\n    'Antibiotics (Penicillin)': ['Bacitracin'],\n    'Antibiotics (Tetr","{\n    'Amines': ['Benzamidine'],\n    'Antibiotics': ['Bacitracin'],\n    'Antibiotics (Penicillin)': ['Bacitracin'],\n    'Antibiotics (Tetr","['Amines', 'Antibiotics', 'Antibiotics (Penicillin)', 'Antibiotics (Tetracycline)']",Medium
Celebrex,Palladia,"Celebrex and Palladia are known to have a synergistic effect when combined, increasing their efficacy and reducing the risk of adverse reactions.","['Anti-Inflammatory', 'Analgesic']","['Anti-Cancer', 'Anti-Inflammatory']","['Anti-Inflammatory', 'Analgesic', 'Anti-Cancer']",Medium
Pemafibrate,Pemafibrate,Nephrotoxicity,['Hyperlipidemia'],['Hyperlipidemia'],['Hyperlipidemia'],High
Fluphenazine,Levofloxacin,No,"['Involved In Drug Interactions', 'Involved In Disease Interactions', 'Inhibits CYP450 2D6 (In Vitro)', 'Inhibits CYP450 3A4 (In Vitro)', 'Induces CYP450","['Involved In Drug Interactions', 'Involved In Disease Interactions', 'Inhibits CYP450 2C9 (In Vitro)', 'Inhibits CYP450 2C19 (In Vitro)', 'Inhibits CYP45","['Involved In Drug Interactions', 'Involved In Disease Interactions', 'Inhibits CYP450, 2D6 (In Vitro)', 'Inhibits CYP450, 3A4 (In Vitro)', 'Induces CYP4",Low
Venlafaxine,Lorazepam,Potential adverse interactions,CNS Stimulant,CNS Depressant,Potential adverse interactions,High
azathioprine,methotrexate,Increased toxicity,"['Chemical', 'Melting point', 'Molar mass', 'Solubility', 'Other']","['Chemical', 'Melting point', 'Molar mass', 'Solubility', 'Other']","['Chemical', 'Melting point', 'Molar mass', 'Solubility', 'Other']",Medium
Triamcinolone,Dexamethasone,Synergistic,immune modulator,immune modulator,immune modulator,High
Lansoprazole,Itraconazole,No Information,"['Acid suppressant', 'Anti-ulcer', 'Cytotoxic', 'Gastrointestinal protective']","['Antifungal', 'Immunosuppressant']","['Anti-ulcer', 'Cytotoxic', 'Gastrointestinal protective', 'Immunosuppressant']",Medium
cisplatin,etoposide,Synergism,Molecular Formula: C22H27Cl2N4O2; Molecular Weight: 457.342 g/mol; PubChem CID: 5280669,Molecular Formula: C14H21N3O3; Molecular Weight: 281.328 g/mol; PubChem CID: 441231,Molecular Formula: C22H27Cl2N4O2; Molecular Weight: 457.342 g/mol; PubChem CID: 5280669,Low
Bupropion,Atorvastatin,no known interactions,"[{'atc_code': 'N06BA01', 'route': 'Oral', 'strength': '150 mg'}, {'atc_code': 'N06BA01', 'route': 'Oral', 'strength': '100 mg'}, {'","[{'atc_code': 'C10AA01', 'route': 'Oral', 'strength': '10 mg'}, {'atc_code': 'C10AA01', 'route': 'Oral', 'strength': '40 mg'}, {'atc","[{'atc_code': 'N06BA01', 'route': 'Oral', 'strength': '150 mg'}, {'atc_code': 'N06BA01', 'route': 'Oral', 'strength': '100 mg'}, {",High
Ampicillin,acetaminophen,Suppressed,"{'Chemical Structure': 'CCNCN(C)C1=CC=C(N)C(=O)C=1O', 'Molecular Formula': 'C11H14N2O3S', 'SMILES': 'CNC1=CNC","{'Chemical Structure': 'CC(=O)CC(C)(C)C', 'Molecular Formula': 'C12H16O2', 'SMILES': 'CC(=O)CC(C)(C)C'}","['Chemical Structure': 'CCNC(C)C1=CC=C(N)C(=O)N1C(=O)CC(=O)C=1O', 'Molecular Formula': 'C17H18N2O5S', '",Medium
Thera213,SKF525A,Unknown,"['Anticonvulsant', 'Antidepressant', 'Antihistamine', 'Antineoplastic', 'Antiprotozoal', 'Antipsychotic', 'Antipsychotic', 'Antipsychotic', 'Antipsychotic', 'Antipsychotic', '","['Anticonvulsant', 'Antidepressant', 'Antihistamine', 'Antineoplastic', 'Antiprotozoal', 'Antipsychotic', 'Antipsychotic', 'Antipsychotic', 'Antipsychotic', 'Antipsychotic', '","['Anticonvulsant', 'Antidepressant', 'Antihistamine', 'Antineoplastic', 'Antiprotozoal', 'Antipsychotic', 'Antipsychotic', 'Antipsychotic', 'Antipsychotic', 'Antipsychotic', '",Low
Aldactone,Cyclophosphamide,The effect of Aldactone is weakened by Cyclophosphamide,"['Antiandrogen', 'Anti-Bacterial', 'Anti-Inflammatory', 'Anti-Oxidant', 'Anti-Proliferative', 'Anti-Spasmodic', 'Anti-Viral', 'Anti-Tumor","['Anti-Bacterial', 'Anti-Inflammatory', 'Anti-Cancer', 'Anti-Fungal', 'Anti-Lethal', 'Anti-Proliferative', 'Anti-Tumor', 'Anti-Viral',","['Anti-Bacterial', 'Anti-Inflammatory', 'Anti-Viral', 'Anti-Tumor']",High
Amlodipine,aspirin,Unknown,"['Amlodipine is a calcium channel blocker used to treat hypertension (high blood pressure).', 'Amlodipine is used to treat high blood pressure (hypertension) and prevent chest pain (angina).', 'Amlodipine is used to treat high blood","['Aspirin is a nonsteroidal anti-inflammatory drug (NSAID) that is used to relieve pain, reduce fever, and decrease inflammation.', 'Aspirin is used to treat pain, fever, and inflammatory disorders. It is also used to prevent","['Amlodipine is a calcium channel blocker used to treat hypertension (high blood pressure).', 'Amlodipine is used to treat high blood pressure (hypertension) and prevent chest pain (angina).', 'Amlodipine is used to treat high blood",Medium
Pralidoxime,Diazepam,Increased risk of drowsiness,"[{'id': 14130, 'name': 'GABA-A receptor positive modulator', 'url': 'https://www.drugbank.ca/drugs/DB01086'}, {'id': 3698, 'name': 'G","[{'id': 6, 'name': 'Anticonvulsant', 'url': 'https://www.drugbank.ca/drugs/DB00189'}]",[],Medium
Rifampicin,Isoniazid,Rifampicin and Isoniazid have a synergistic effect.,"[{'CAS Number': '58-84-0', 'Chemical Formula': 'C36H56N4O12S', 'Molecular Weight': '744.96', 'SMILES': 'C1=CC=NC=C2","[{'CAS Number': '58-56-1', 'Chemical Formula': 'C8H7ClN3O', 'Molecular Weight': '173.62', 'SMILES': 'CCOc1ccccc1Nc2c(c","[{'CAS Number': '132207-90-0', 'Chemical Formula': 'C39H56N4O16S2', 'Molecular Weight': '834.96', 'SMILES': 'C1=CC",High
Tadalafil,Amoxicillin,No interaction,"[{'id': 1015, 'name': 'Anorexigenic effect'}, {'id': 1014, 'name': 'Antidepressant effect'}, {'id': 2132, 'name': 'Anti-inflammatory effect'}, {'id","[{'id': 3082, 'name': 'Anti-inflammatory effect'}, {'id': 1016, 'name': 'Anti-malarial effect'}, {'id': 1017, 'name': 'Anti-parasitic","[{'id': 2132, 'name': 'Anti-inflammatory effect'}, {'id': 1017, 'name': 'Anti-parasitic'}, {'id': 3082, 'name': 'Anti-inflammatory",Medium
Drug A,Drug B,Decreased,"['Hyperglycemia', 'Hypoglycemia']",[],"['Hyperglycemia', 'Hypoglycemia']",Medium
Venlafaxine,Nortriptyline,[{,"CYP2D6, CYP3A4","[CYP2D6, CYP3A4]","[CYP2D6, CYP3A4]",Medium
phenytoin,cetirizine,The patient's blood pressure is lowered,"['Anticonvulsant', 'CNS depressant', 'CNS stimulant', 'Hypotensive', 'Muscle relaxant']","['Antihistamine', 'Antitussive', 'Hypotensive']","['Anticonvulsant', 'Antihistamine', 'Antitussive', 'CNS depressant', 'CNS stimulant', 'Hypotensive', 'Muscle relaxant']",High
Atropisomeric sodium,Droperidol,Minor effects,"[{'id': 7272, 'name': 'Renal and electrolyte disturbances'}, {'id': 686, 'name': 'Cardiovascular disorders'}, {'id': 1696, 'name': 'Infections and infestations'}, {'id':","[{'id': 5522, 'name': 'Diabetes mellitus'}, {'id': 5523, 'name': 'Hypoglycemia'}, {'id': 7142, 'name': 'Psychiatric disorders'}, {'id","[{'id': 7272, 'name': 'Renal and electrolyte disturbances'}, {'id': 686, 'name': 'Cardiovascular disorders'}, {'id': 473, 'name': 'Gastrointestinal disorders'}]",Medium
hydroxychloroquine,colchicine,no known interactions,"[{'ID': '2040', 'Name': 'Hydroxychloroquine', 'URL': 'https://www.drugs.com/mtm/hydroxychloroquine.html', 'Description': 'Hydroxychloroquine is used","[{'ID': '1104', 'Name': 'Colchicine', 'URL': 'https://www.drugs.com/mtm/colchicine.html', 'Description': 'Colchicine is used for gouty arthritis, familial med","['Hydroxychloroquine', 'Colchicine', 'no known interactions']",Low
Cyclosporine A,Cyclosporine A,No known effect,"{\n    \""bioavailability\"": 94.0,\n    \""drugbank_id\"": DB00385, \n    \""metabolized\"": true,\n    \""p_drugbank_id\"": DB00385,\n    \""targets\"":","{\n    \""bioavailability\"": 99.0,\n    \""drugbank_id\"": DB00294, \n    \""metabolized\"": true,\n    \""p_drugbank_id\"": DB00294,\n    \""targets\"":","{\n    \""bioavailability\"": 97.0,\n    \""drugbank_id\"": None, \n    \""metabolized\"": true,\n    \""p_drugbank_id\"": None,\n    \""targets\"":",Medium
Gefitinib,PD-1,Synergistic,"['carcinoma', 'lung']","['Lung Cancer', 'Melanoma']","['Lung Cancer', 'Melanoma']",Medium
Licofelone,Ibuprofen,The effect of the combination of Licofelone and Ibuprofen is a combination of the effects of Licofelone and Ibuprofen. Licofelone is a non-steroidal anti-inflammatory drug (NSAID) that selectively inhibits cyclo,"{'Solvatochromic Shift': 2.176, 'QSAR': -0.12, 'Ionization Potential': 9.11, 'HIV (CC50)': 1.35, 'Bioavailability': 0","{'HIV (CC50)': 0.5, 'LogP': 1.49, 'Excretion': 'Kidneys', 'Mutagenic Potential': 0.74, 'Melting Point': 76.5, 'Polarity': -","{'HIV (CC50)': 0.425, 'QSAR': -0.353, 'Melting Point': 106.6, 'Bioavailability': 0, 'Excretion': 'Kidneys', 'Solvato",Low
Pentoxifylline,Fluoxetine,"Both drugs are associated with increased bleeding risk, so they should not be combined.","['Antiplatelet', 'Antithrombotic', 'Anti-inflammatory', 'Anti-aggregant', 'Nootropic', 'Repurposed']","['Antidepressant', 'Repurposed']","['Antidepressant', 'Antiplatelet', 'Antithrombotic', 'Anti-inflammatory', 'Anti-aggregant', 'Nootropic', 'Repurposed']",Low
clomipramine,sodium valproate,Synergistic,"CNS depressant, Antidepressant, Antiemetic, Antihistamine, Antimanic, Antipsychotic, Anxiolytic","Anticonvulsant, Antiepileptic, Antimanic, Antipsychotic, Mood stabilizer","Anticonvulsant, Antiepileptic, Antimanic, Antipsychotic, Mood stabilizer",High
DICLOFENAC,ISONAZID,Synergistic effect,"['Anti-inflammatory','Analgesic']",['Anti-Tuberculosis'],"['Anti-inflammatory', 'Analgesic', 'Anti-Tuberculosis']",Low
Lamivudine,Lamivudine,Enhances the activity of each drug,"Antiviral, Antiretroviral","Antiviral, Antiretroviral","['Antiviral', 'Antiretroviral']",Low
Alprazolam,Propranolol,None,"[{'Synonym': 'alprazolam', 'ID': 'CHEMBL2434491'}, {'Synonym': 'Alprazolam', 'ID': 'CHEMBL2433685'}, {'Synonym': 'Al","[{'Synonym': 'propranolol', 'ID': 'CHEMBL2464132'}, {'Synonym': 'Propranolol', 'ID': 'CHEMBL2464103'}, {'Synonym': '4","[{'Synonym': 'Alprazolam', 'ID': 'CHEMBL2433685'}, {'Synonym': 'Propranolol', 'ID': 'CHEMBL2464103'}, {'Synonym': '4",High
Amlodipine,Clopidogrel,No Observed Interactions,"['contains_amino_groups', 'contains_nitrogen_groups', 'contains_nitro_groups', 'contains_sulfur', 'contains_sulfonyl_groups', 'contains_sulfur_groups', 'has_basic_properties', 'has_hydroxyl","['contains_amino_groups', 'contains_nitrogen_groups', 'contains_nitro_groups', 'contains_sulfur', 'contains_sulfonyl_groups', 'contains_sulfur_groups', 'has_acidic_properties', 'has_basic_","['contains_amino_groups', 'contains_nitrogen_groups', 'contains_nitro_groups', 'contains_sulfur', 'contains_sulfonyl_groups', 'contains_sulfur_groups', 'has_acidic_properties', 'has_basic_",High
amodiaquine,albendazole,No drug interaction information found,"[{'drugBankId': 'DB00029', 'indication': 'Malaria', 'mechanism': 'Atypical antimalarial', 'target': 'Folate polyglutamate synthase (EC 6.3.2.17)', '","[{'drugBankId': 'DB00171', 'indication': 'Intestinal worms', 'mechanism': 'Anthelmintic', 'target': '', '","[{'drugBankId': 'DB15595', 'indication': 'Intestinal worms', 'mechanism': 'Anthelmintic', 'target': '', '",High
acetaminophen,hydrocodone,both,"[{'ID': 4028, 'name': 'analgesic'}, {'ID': 1168, 'name': 'antipyretic'}]","[{'ID': 1411, 'name': 'analgesic'}, {'ID': 1168, 'name': 'antipyretic'}, {'ID': 559, 'name': 'antitussive'}]","[{'ID': 4028, 'name': 'analgesic'}, {'ID': 1168, 'name': 'antipyretic'}]",High
Acetaminophen,Ibuprofen,Paracetamol & Ibuprofen is a combination drug marketed by GlaxoSmithKline under the brand name Co-Gesic.,"{'Antibacterial': False, 'Anti-inflammatory': True, 'Analgesic': True, 'Anti-diabetic': False, 'Anti-fungal': False, 'Anti-hypertensive': False, 'Anti-ulcer': False","{'Antibacterial': False, 'Anti-inflammatory': True, 'Analgesic': True, 'Anti-diabetic': False, 'Anti-fungal': False, 'Anti-hypertensive': False, 'Anti-ulcer': False","{'Antibacterial': False, 'Anti-inflammatory': True, 'Analgesic': True, 'Anti-diabetic': False, 'Anti-fungal': False, 'Anti-hypertensive': False, 'Anti-ulcer': False",High
Midostaurin,Sunitinib,Synergistic,"[{'property': 'Molecular Formula', 'value': 'C30H32O7N'}, {'property': 'SMILES', 'value': 'C1=CC=CC=C1C(C)CC1=C(C=C(C=C1)C","[{'property': 'Molecular Formula', 'value': 'C30H32O7N'}, {'property': 'SMILES', 'value': 'C1=CC=CC=C1C(C)CC1=C(C=C(C=C1)C","[{'property': 'Molecular Formula', 'value': 'C30H32O7N'}, {'property': 'SMILES', 'value': 'C1=CC=CC=C1C(C)CC1=C(C=C(C=C1)C",Medium
Doxycycline,Cefepime,No known effect,"['Antibacterial', 'Antibiotic', 'Anti-inflammatory', 'Antiprotozoal', 'Antirheumatic']","['Antibacterial', 'Antibiotic', 'Antifungal', 'Antimicrobial', 'Antiprotozoal', 'Antiviral']","['Antibacterial', 'Antibiotic', 'Antifungal', 'Antimicrobial', 'Antiprotozoal', 'Antiviral']",Medium
Bevacizumab,Erlotinib,Synergistic,['Antineoplastics'],"['Antineoplastics', 'Atypical protein kinase inhibitors']","['Antineoplastics', 'Atypical protein kinase inhibitors']",Low
Dactinomycin,Docetaxel,Synergistic,"['Antibiotic', 'Antineoplastic']",['Antineoplastic'],"['Antihepatotoxic', 'Antineoplastic', 'Antiviral']",Medium
